37.5000, -142.0569
40.0000, -118.4566
42.5032, -109.4262
45.0015, -106.0283
47.5010, -110.5077
50.0020, -118.3785
52.5000, -126.7493
55.0000, -136.5454
57.5000, -148.3812
60.0000, -162.2058
62.5000, -176.2531
64.9990, -191.2868
67.5007, -206.8139
70.0000, -224.5569
72.5000, -242.4598
75.0000, -262.4796
77.5000, -284.7338
80.0000, -309.2137
82.5000, -334.4870
85.0000, -360.5351
87.5000, -388.4385
90.0000, -420.2240
92.5000, -453.4942
95.0000, -488.2921
97.5000, -526.8188
100.0000, -568.2775
102.5000, -614.5329
105.0000, -664.5271
